gi,hist_type,hist_var,taxid,curated
301781100,H2B,H2B.W,9646,True
296470943,H2B,H2B.W,9913,True
545560116,H2B,H2B.W,9615,True
223590216,H2B,H2B.W,9606,True
302564969,H2B,H2B.W,9544,True
291407712,H2B,H2B.W,9986,True
301771932,H2B,subH2B,9646,True
45429973,H2B,subH2B,9913,True
348552306,H2B,subH2B,10141,True
354507874,H2B,subH2B,10029,True
149727070,H2B,subH2B,9796,True
512843645,H2B,subH2B,10181,True
344272356,H2B,subH2B,9785,True
109077646,H2B,subH2B,9544,True
126320607,H2B,subH2B,13616,True
254588081,H2B,subH2B,10090,True
311273883,H2B,subH2B,9823,True
752441783,H2B,canonical_H2B,9646,True
75170197,H2B,canonical_H2B,3702,True
75180188,H2B,canonical_H2B,3702,True
75181188,H2B,canonical_H2B,3702,True
75181341,H2B,canonical_H2B,3702,True
82697375,H2B,canonical_H2B,9913,True
17558794,H2B,canonical_H2B,6239,True
545554624,H2B,H2B.1,9615,True
884911570,H2B,canonical_H2B,10141,True
625285907,H2B,canonical_H2B,10029,True
24585671,H2B,canonical_H2B,7227,True
545217094,H2B,canonical_H2B,9796,True
119331174,H2B,canonical_H2B,9031,True
861442736,H2B,canonical_H2B,10181,True
20336754,H2B,canonical_H2B,9606,True
344307322,H2B,canonical_H2B,9785,True
795655520,H2B,canonical_H2B,9545,True
612000632,H2B,canonical_H2B,13616,True
28316760,H2B,canonical_H2B,10090,True
655885637,H2B,canonical_H2B,9986,True
161386,H2B,canonical_H2B,7660,True
12025526,H2B,canonical_H2B,10116,True
398366183,H2B,canonical_H2B,559292,True
6319471,H2B,canonical_H2B,559292,True
62909990,H2B,canonical_H2B,7668,True
545837877,H2B,canonical_H2B,9823,True
237840885,H2B,H2B.Z,508771,True
71748422,H2B,canonical_H2B,185431,True
148222089,H2B,canonical_H2B,8355,True
108885304,H2B,sperm_H2B,7658,True
108860775,H2B,sperm_H2B,7660,True
74767039,H2B,sperm_H2B,7660,True
47551059,H2B,sperm_H2B,7668,True
47551083,H2B,sperm_H2B,7668,True
24586679,H2B,H2B.1,9606,True
28316750,H2B,H2B.1,10090,True
12025524,H2B,H2B.1,10116,True
124511826,H2B,H2B.Z,36329,True
68073549,H2B,H2B.Z,5823,True
119628413,H3,H3.Y,9606,True
NOGI_1,H3,H3.Y,9606,True
NOGI_2,H3,H3.Y,9598,True
NOGI_3,H3,H3.Y,9598,True
NOGI_4,H3,H3.Y,9606,True
NOGI_5,H3,H3.Y,9606,True
NOGI_6,H3,H3.Y,9544,True
NOGI_7,H3,H3.Y,9544,True
15232146,H3,canonical_H3,3702,True
15236103,H3,H3.3,3702,True
17567723,H3,canonical_H3,6239,True
68472183,H3,canonical_H3,237561,True
544214341,H3,canonical_H3,280699,True
50423783,H3,canonical_H3,284592,True
78706960,H3,canonical_H3,7227,True
8070,H3,canonical_H3,7227,True
527498246,H3,canonical_H3,9031,True
73919915,H3,canonical_H3,83288,True
162606012,H3,canonical_H3,55529,True
4504281,H3,canonical_H3,9606,True
302565464,H3,canonical_H3,9544,True
21489955,H3,canonical_H3,10090,True
85077297,H3,canonical_H3,367110,True
115441249,H3,canonical_H3,39947,True
115453351,H3,canonical_H3,39947,True
114605759,H3,canonical_H3,9598,True
294956322,H3,canonical_H3,423536,True
301115049,H3,canonical_H3,403677,True
82541094,H3,canonical_H3,352914,True
86171194,H3,canonical_H3,36329,True
6319482,H3,H3.3,559292,True
302792052,H3,canonical_H3,88036,True
229595561,H3,canonical_H3,312017,True
223998042,H3,canonical_H3,296543,True
115504299,H3,canonical_H3,185431,True
148234575,H3,canonical_H3,8355,True
18378832,H3,cenH3,3702,True
17553736,H3,cenH3,6239,True
544210412,H3,cenH3,280699,True
22024004,H3,cenH3,7227,True
13794280,H3,cenH3,55529,True
4502775,H3,cenH3,9606,True
6680920,H3,cenH3,10090,True
294874934,H3,cenH3,423536,True
695416328,H3,cenH3,67593,True
124513424,H3,cenH3,36329,True
27808712,H3,cenH3,559292,True
19113265,H3,cenH3,284812,True
118356028,H3,cenH3,312017,True
223995905,H3,cenH3,296543,True
68484797,H3,H3.3,237561,True
58260270,H3,H3.3,214684,True
50408553,H3,H3.3,284592,True
17530867,H3,H3.3,7227,True
32401039,H3,H3.3,83288,True
51859376,H3,H3.3,9606,True
6680159,H3,H3.3,10090,True
301090188,H3,H3.3,403677,True
82594554,H3,H3.3,352914,True
16758888,H3,H3.3,10116,True
122076,H3,H3.3,284812,True
118350232,H3,H3.3,312017,True
224009486,H3,H3.3,296543,True
22476750,H3,H3.3,5811,True
589115521,H3,H3.3,431241,True
188528667,H3,H3.5,9606,True
410046862,H3,H3.5,9598,True
4504299,H3,TS_H3.4,9606,True
397466137,H3,TS_H3.4,9597,True
225709312,H1,H1.10,217165,True
5174449,H1,H1.10,9606,True
225703540,H1,H1.10,8022,True
225708114,H1,H1.10,8014,True
221221588,H1,H1.10,8030,True
147898445,H1,H1.10,8355,True
32401437,H1,TS_H1.7,9606,True
257196238,H1,TS_H1.7,10090,True
15222199,H1,generic_H1,3702,True
741971516,H1,generic_H1,9913,True
54035964,H1,generic_H1,6239,True
28571712,H1,generic_H1,7227,True
72151622,H1,generic_H1,7227,True
50729210,H1,generic_H1,9031,True
4885373,H1,generic_H1,9606,True
4885375,H1,generic_H1,9606,True
4885377,H1,generic_H1,9606,True
4885379,H1,generic_H1,9606,True
4885381,H1,generic_H1,9606,True
21426823,H1,generic_H1,10090,True
9845257,H1,generic_H1,10090,True
18959218,H1,generic_H1,10116,True
47551077,H1,generic_H1,7668,True
47551091,H1,generic_H1,7668,True
147903543,H1,generic_H1,8355,True
121950,H1,generic_H1,4577,True
115496898,H1,H1.0,9913,True
122111,H1,H1.0,8855,True
742177175,H1,H1.0,8010,True
113206128,H1,H1.0,9031,True
4885371,H1,H1.0,9606,True
31560697,H1,H1.0,10090,True
197098626,H1,H1.0,9601,True
6981004,H1,H1.0,10116,True
197632441,H1,H1.0,8030,True
221219746,H1,H1.0,8030,True
221221998,H1,H1.0,8030,True
47551095,H1,H1.0,7668,True
449481975,H1,H1.0,59729,True
220970504,H1,H1.0,296543,True
47498062,H1,H1.0,8364,True
38372285,H1,TS_H1.9,9606,True
9055232,H1,TS_H1.9,10090,True
207081162,H1,TS_H1.9,564181,True
157818369,H1,TS_H1.9,10116,True
545554579,H1,TS_H1.6,9615,True
379643033,H1,TS_H1.6,9796,True
20544168,H1,TS_H1.6,9606,True
124053434,H1,TS_H1.6,9544,True
112807207,H1,TS_H1.6,10090,True
6981006,H1,TS_H1.6,10116,True
221221722,H1,TS_H1.6,8030,True
147901299,H1,TS_H1.6,8355,True
24475863,H1,OO_H1.8,9606,True
19923865,H1,OO_H1.8,10090,True
6325130,H1,ScH1,559292,True
748455219,H1,ScH1,1160507,True
15226944,H4,canonical_H4,3702,True
17509199,H4,canonical_H4,6239,True
78707094,H4,canonical_H4,7227,True
83745133,H4,canonical_H4,9031,True
861442511,H4,canonical_H4,10181,True
4504319,H4,canonical_H4,9606,True
77539758,H4,canonical_H4,9606,True
21361209,H4,canonical_H4,10090,True
6319481,H4,canonical_H4,559292,True
47551061,H4,canonical_H4,7668,True
118366755,H4,canonical_H4,312017,True
84043542,H4,canonical_H4,185431,True
148228507,H4,canonical_H4,8355,True
212722314,H4,canonical_H4,4577,True
15219078,H2A,H2A.Z,3702,True
15224957,H2A,H2A.Z,3702,True
15232536,H2A,H2A.Z,3702,True
15236314,H2A,H2A.Z,3702,True
66357734,H2A,H2A.Z,353152,True
112807244,H2A,H2A.Z,7955,True
24111226,H2A,H2A.Z,7955,True
66807867,H2A,canonical_H2A,352472,True
17738227,H2A,H2A.Z,7227,True
121988,H2A,H2A.Z,9031,True
71897327,H2A,H2A.Z,9031,True
4504255,H2A,H2A.Z,9606,True
6912616,H2A,H2A.Z,9606,True
156225472,H2A,H2A.Z,45351,True
115455263,H2A,H2A.Z,39947,True
294899805,H2A,H2A.Z,423536,True
294944035,H2A,H2A.Z,423536,True
294944037,H2A,H2A.Z,423536,True
6324562,H2A,H2A.Z,559292,True
429240082,H2A,H2A.Z,284812,True
10823,H2A,H2A.Z,5911,True
237844891,H2A,H2A.Z,508771,True
196003262,H2A,H2A.Z,10228,True
72391930,H2A,H2A.Z,185431,True
219362481,H2A,H2A.Z,4577,True
226532207,H2A,H2A.Z,4577,True
66506394,H2A,H2A.X,7460,True
15221875,H2A,H2A.X,3702,True
15223948,H2A,H2A.X,3702,True
119331192,H2A,H2A.X,9913,True
66359884,H2A,H2A.X,353152,True
41055102,H2A,H2A.X,7955,True
66814816,H2A,H2A.X,352472,True
159108895,H2A,H2A.X,184922,True
4504253,H2A,H2A.X,9606,True
126326560,H2A,H2A.X,13616,True
7106331,H2A,H2A.X,10090,True
115488866,H2A,H2A.X,39947,True
294943912,H2A,H2A.X,423536,True
157817664,H2A,H2A.X,10116,True
398366187,H2A,H2A.X,559292,True
6319470,H2A,H2A.X,559292,True
19115333,H2A,H2A.X,284812,True
310870,H2A,H2A.X,5911,True
237831985,H2A,H2A.X,508771,True
196012824,H2A,H2A.X,10228,True
758974979,H2A,canonical_H2A,237631,True
670405864,H2A,H2A.X,4577,True
670444449,H2A,H2A.X,4577,True
25092737,H2A,H2A.1,9606,True
28316756,H2A,H2A.1,10090,True
70887615,H2A,macroH2A,7955,True
3395780,H2A,macroH2A,9031,True
45384360,H2A,macroH2A,9031,True
472824980,H2A,macroH2A,9031,True
530380257,H2A,macroH2A,9606,True
8923920,H2A,macroH2A,9606,True
93141018,H2A,macroH2A,9606,True
241122402,H2A,macroH2A,6945,True
156396795,H2A,macroH2A,45351,True
196003430,H2A,macroH2A,10228,True
301783589,H2A,H2A.L,9646,True
118151026,H2A,H2A.L,9913,True
119923405,H2A,H2A.L,9913,True
57112025,H2A,H2A.L,9615,True
57112039,H2A,H2A.L,9615,True
348567212,H2A,H2A.L,10141,True
348567220,H2A,H2A.L,10141,True
354492135,H2A,H2A.L,10029,True
351701334,H2A,H2A.L,10181,True
351707644,H2A,H2A.L,10181,True
351714308,H2A,H2A.L,10181,True
13386112,H2A,H2A.L,10090,True
13386420,H2A,H2A.L,10090,True
291407300,H2A,H2A.L,9986,True
291407314,H2A,H2A.L,9986,True
350595614,H2A,H2A.L,9823,True
350595620,H2A,H2A.L,9823,True
752439251,H2A,H2A.B,9646,True
115495331,H2A,H2A.B,9913,True
296237715,H2A,H2A.B,9483,True
354504491,H2A,H2A.B,10029,True
354506888,H2A,H2A.B,10029,True
351702986,H2A,H2A.B,10181,True
63029935,H2A,H2A.B,9606,True
63029941,H2A,H2A.B,9606,True
344306151,H2A,H2A.B,9785,True
302564935,H2A,H2A.B,9544,True
528078357,H2A,H2A.B,10090,True
528078359,H2A,H2A.B,10090,True
332266419,H2A,H2A.B,61853,True
114690754,H2A,H2A.B,9598,True
311277259,H2A,H2A.B,9823,True
15238549,H2A,H2A.W,3702,True
15241016,H2A,H2A.W,3702,True
162458988,H2A,H2A.W,4577,True
226492688,H2A,H2A.W,4577,True
308080088,H2A,H2A.W,4577,True
308080448,H2A,H2A.W,4577,True
308081862,H2A,H2A.W,4577,True
620597319,H2A,H2A.W,4577,True
659928085,H2A,H2A.W,4577,True
752439274,H2A,canonical_H2A,9646,True
110764935,H2A,canonical_H2A,7460,True
15223708,H2A,canonical_H2A,3702,True
15232330,H2A,canonical_H2A,3702,True
15239697,H2A,canonical_H2A,3702,True
334186954,H2A,canonical_H2A,3702,True
731349093,H2A,canonical_H2A,3555,True
329663492,H2A,canonical_H2A,9913,True
17562014,H2A,canonical_H2A,6239,True
675650858,H2A,canonical_H2A,9483,True
545554572,H2A,canonical_H2A,9615,True
348586313,H2A,canonical_H2A,10141,True
625285905,H2A,canonical_H2A,10029,True
688617969,H2A,canonical_H2A,7955,True
24585673,H2A,canonical_H2A,7227,True
118405202,H2A,canonical_H2A,9031,True
512971505,H2A,canonical_H2A,10181,True
10645195,H2A,canonical_H2A,9606,True
215500063,H2A,canonical_H2A,6945,True
344307320,H2A,canonical_H2A,9785,True
302565564,H2A,canonical_H2A,9544,True
612000617,H2A,canonical_H2A,13616,True
30061393,H2A,canonical_H2A,10090,True
156227602,H2A,canonical_H2A,45351,True
441622123,H2A,canonical_H2A,61853,True
655885615,H2A,canonical_H2A,9986,True
115488402,H2A,canonical_H2A,39947,True
694915112,H2A,canonical_H2A,9598,True
239897365,H2A,canonical_H2A,423536,True
75832135,H2A,canonical_H2A,10116,True
335291892,H2A,canonical_H2A,9823,True
310872,H2A,canonical_H2A,5911,True
237831941,H2A,canonical_H2A,508771,True
72391222,H2A,canonical_H2A,185431,True
147898582,H2A,canonical_H2A,8355,True
212723398,H2A,canonical_H2A,4577,True
226504426,H2A,canonical_H2A,4577,True
301755368,H2A,H2A.P,9646,True
545557820,H2A,H2A.P,9615,True
354492127,H2A,H2A.P,10029,True
351707643,H2A,H2A.P,10181,True
150456434,H2A,H2A.P,9606,True
3329433,H2A,H2A.P,9606,True
355704714,H2A,H2A.P,9544,True
13385600,H2A,H2A.P,10090,True
332860554,H2A,H2A.P,9598,True
197386154,H2A,H2A.P,10116,True
311276123,H2A,H2A.P,9823,True
830041634,H2B,H2B.W,143302,False
823419433,H2B,H2B.W,9708,False
823429270,H2B,H2B.W,9708,False
700372904,H2B,canonical_H2B,30419,False
524983306,H2B,canonical_H2B,59894,False
795113806,H2B,H2B.W,336983,False
119623170,H2B,H2B.W,9606,False
150171103,H2B,H2B.W,9606,False
526252790,H2B,H2B.W,9606,False
30908970,H2B,H2B.W,9606,False
30909024,H2B,H2B.W,9606,False
56611118,H2B,H2B.W,9606,False
110002519,H2B,H2B.W,9606,False
112292476,H2B,H2B.W,9606,False
649130158,H2B,H2B.W,32630,False
795487844,H2B,H2B.W,9545,False
795487849,H2B,H2B.W,9545,False
544522204,H2B,H2B.W,9541,False
397497812,H2B,H2B.W,9597,False
119623171,H2B,H2B.W,9606,False
688562948,H3,canonical_H3,7955,False
808872795,H2B,canonical_H2B,215358,False
426396931,H2B,H2B.W,9595,False
297716918,H2B,H2B.W,9601,False
755931002,H3,canonical_H3,64838,False
544522183,H2B,H2B.W,9541,False
694985746,H2B,H2B.W,9598,False
109131748,H2B,H2B.W,9544,False
594674698,H2B,H2B.W,310752,False
795487859,H2B,H2B.W,9545,False
795487864,H2B,H2B.W,9545,False
355570022,H2B,H2B.W,9544,False
795584959,H2B,H2B.W,9531,False
724808656,H2B,H2B.W,61622,False
402913682,H2B,H2B.W,9555,False
795149959,H2B,H2B.W,9568,False
109131754,H2B,H2B.W,9544,False
544522201,H2B,H2B.W,9541,False
571488645,H2B,canonical_H2B,3847,False
355767525,H2B,H2B.W,9541,False
823258402,H2B,canonical_H2B,29730,False
795487422,H2B,H2B.W,9545,False
571492365,H2B,canonical_H2B,3847,False
731392297,H2B,canonical_H2B,29760,False
635145042,H2B,H2B.W,60711,False
332266815,H2B,H2B.W,61853,False
764560959,H2B,canonical_H2B,101020,False
470116840,H2B,canonical_H2B,101020,False
281342620,H2B,H2B.W,9646,False
848886170,H2B,canonical_H2B,4155,False
565360911,H2B,canonical_H2B,4113,False
731349098,H2B,canonical_H2B,3555,False
635145037,H2B,H2B.W,60711,False
635145039,H2B,H2B.W,60711,False
565389551,H2B,canonical_H2B,4113,False
460409198,H2B,canonical_H2B,4081,False
357473279,H2B,canonical_H2B,3880,False
769809530,H2B,canonical_H2B,13333,False
724808662,H2B,H2B.W,61622,False
403309453,H2B,H2B.W,39432,False
817274012,H2B,H2B.W,37293,False
474051588,H2B,canonical_H2B,4572,False
472396125,H2B,H2B.W,9708,False
823429645,H2B,H2B.W,9708,False
675754316,H2B,H2B.W,9597,False
585200512,H2B,H2B.W,9713,False
297716920,H2B,H2B.W,9601,False
296236095,H2B,H2B.W,9483,False
686773565,H2B,H2B.W,9601,False
296236099,H2B,H2B.W,9483,False
675768905,H2B,H2B.W,9483,False
675768923,H2B,H2B.W,9483,False
472373950,H2B,H2B.W,9708,False
675776853,H2B,H2B.W,9483,False
355705032,H2B,H2B.W,9544,False
301792829,H2B,H2B.W,9646,False
355705031,H2B,H2B.W,9544,False
694985761,H2B,H2B.W,9598,False
795134306,H2B,H2B.W,336983,False
426396943,H2B,H2B.W,9595,False
472373936,H2B,H2B.W,9708,False
403309485,H2B,H2B.W,39432,False
338729432,H2B,H2B.W,9796,False
724883943,H2B,H2B.W,61622,False
297304491,H2B,H2B.W,9544,False
149759656,H2B,H2B.W,9796,False
194228156,H2B,H2B.W,9796,False
795487854,H2B,H2B.W,9545,False
823429268,H2B,H2B.W,9708,False
823432682,H2B,H2B.W,9708,False
556768914,H2B,H2B.W,59538,False
355570021,H2B,H2B.W,9544,False
823437913,H2B,H2B.W,9708,False
752442498,H2B,H2B.W,9646,False
664777181,H2B,H2B.W,9798,False
829878521,H2B,H2B.W,30608,False
829878527,H2B,H2B.W,30608,False
472393453,H2B,H2B.W,9708,False
803204366,H2B,H2B.W,9940,False
664777183,H2B,H2B.W,9798,False
194228154,H2B,H2B.W,9796,False
602716123,H2B,H2B.W,118797,False
823432686,H2B,H2B.W,9708,False
426257815,H2B,H2B.W,9940,False
472393451,H2B,H2B.W,9708,False
795487429,H2B,H2B.W,9545,False
795487434,H2B,H2B.W,9545,False
823419423,H2B,H2B.W,9708,False
635145029,H2B,H2B.W,60711,False
635145031,H2B,H2B.W,60711,False
548535152,H2B,H2B.W,9925,False
548533704,H2B,H2B.W,9925,False
829882157,H2B,H2B.W,30608,False
635145046,H2B,H2B.W,60711,False
256542317,H2B,H2B.W,9606,False
578838343,H2B,H2B.W,9606,False
768037628,H2B,H2B.W,9606,False
613503941,H2B,H2B.W,9606,False
163943750,H2B,H2B.W,9606,False
556765005,H2B,H2B.W,59538,False
823419437,H2B,H2B.W,9708,False
548529331,H2B,H2B.W,9925,False
402910986,H2B,H2B.W,9555,False
685617423,H2B,H2B.W,9555,False
635145033,H2B,H2B.W,60711,False
635145035,H2B,H2B.W,60711,False
685617421,H2B,H2B.W,9555,False
675754536,H2B,H2B.W,9597,False
602716121,H2B,H2B.W,118797,False
724808659,H2B,H2B.W,61622,False
544522197,H2B,H2B.W,9541,False
544522199,H2B,H2B.W,9541,False
826267292,H2B,H2B.W,379532,False
548532614,H2B,H2B.W,9925,False
594096832,H2B,H2B.W,89462,False
544522187,H2B,H2B.W,9541,False
544522189,H2B,H2B.W,9541,False
426396945,H2B,H2B.W,9595,False
472373948,H2B,H2B.W,9708,False
556735044,H2B,H2B.W,59538,False
544522185,H2B,H2B.W,9541,False
803204761,H2B,H2B.W,9940,False
694985748,H2B,H2B.W,9598,False
803325157,H2B,H2B.W,9938,False
795248498,H2B,H2B.W,336983,False
803294131,H2B,H2B.W,9938,False
76691061,H2B,H2B.W,9913,False
544522191,H2B,H2B.W,9541,False
823429274,H2B,H2B.W,9708,False
119623172,H2B,H2B.W,9606,False
296470968,H2B,H2B.W,9913,False
440891570,H2B,H2B.W,72004,False
426258411,H2B,H2B.W,9940,False
823419429,H2B,H2B.W,9708,False
686767062,H2B,H2B.W,9601,False
560936599,H2B,H2B.W,419612,False
528754109,H2B,H2B.W,419612,False
556765013,H2B,H2B.W,59538,False
823419435,H2B,H2B.W,9708,False
297492816,H2B,H2B.W,9913,False
529014582,H2B,H2B.W,9913,False
296470969,H2B,H2B.W,9913,False
296470980,H2B,H2B.W,9913,False
823432688,H2B,H2B.W,9708,False
594100646,H2B,H2B.W,89462,False
555999810,H2B,H2B.W,72004,False
742088387,H2B,H2B.W,43346,False
555998371,H2B,H2B.W,72004,False
426258370,H2B,H2B.W,9940,False
555987986,H2B,H2B.W,72004,False
440887882,H2B,H2B.W,72004,False
742088085,H2B,H2B.W,43346,False
296470949,H2B,H2B.W,9913,False
817305769,H2B,H2B.W,37293,False
593760438,H2B,H2B.W,9755,False
803283647,H2B,H2B.W,9938,False
803315302,H2B,H2B.W,9938,False
61840401,H2B,H2B.W,9913,False
297492818,H2B,H2B.W,9913,False
296470967,H2B,H2B.W,9913,False
826284653,H2B,H2B.W,379532,False
594110563,H2B,H2B.W,89462,False
281337695,H2B,H2B.W,9646,False
829792277,H2B,H2B.W,30608,False
586532248,H2B,H2B.W,9402,False
594030640,H2B,H2B.W,89462,False
742082637,H2B,H2B.W,43346,False
548529178,H2B,H2B.W,9925,False
555971143,H2B,H2B.W,72004,False
829792282,H2B,H2B.W,30608,False
594116599,H2B,H2B.W,89462,False
560994494,H2B,H2B.W,30538,False
545886026,H2B,H2B.W,9823,False
594030176,H2B,H2B.W,89462,False
759198942,H2B,H2B.W,132908,False
823435375,H2B,H2B.W,9708,False
297492728,H2B,H2B.W,9913,False
358421963,H2B,H2B.W,9913,False
296471047,H2B,H2B.W,9913,False
594032383,H2B,H2B.W,89462,False
545886009,H2B,H2B.W,9823,False
823432684,H2B,H2B.W,9708,False
743743081,H2B,H2B.W,9837,False
829853868,H2B,H2B.W,30608,False
560994496,H2B,H2B.W,30538,False
594676495,H2B,H2B.W,310752,False
440897328,H2B,H2B.W,72004,False
670980957,H2B,H2B.W,29073,False
355705034,H2B,H2B.W,9544,False
440904646,H2B,H2B.W,72004,False
826284650,H2B,H2B.W,379532,False
640788065,H2B,H2B.W,9478,False
488533850,H2B,H2B.W,9361,False
594030080,H2B,H2B.W,89462,False
594096834,H2B,H2B.W,89462,False
823437916,H2B,H2B.W,9708,False
759198940,H2B,H2B.W,132908,False
823429272,H2B,H2B.W,9708,False
675774472,H2B,H2B.W,9483,False
670980953,H2B,H2B.W,29073,False
759197474,H2B,H2B.W,132908,False
472396590,H2B,H2B.W,9708,False
119575075,H2B,H2B.W,9606,False
859943633,H2B,H2B.W,9669,False
759198944,H2B,H2B.W,132908,False
545886020,H2B,H2B.W,9823,False
545886023,H2B,H2B.W,9823,False
744614379,H2B,H2B.W,9838,False
507957466,H2B,H2B.W,143302,False
507957469,H2B,H2B.W,143302,False
511919000,H2B,H2B.W,9669,False
741905771,H2B,H2B.W,9913,False
741982192,H2B,H2B.W,9913,False
472373940,H2B,H2B.W,9708,False
532086422,H2B,H2B.W,43179,False
545886004,H2B,H2B.W,9823,False
545886007,H2B,H2B.W,9823,False
617636386,H2B,H2B.W,9365,False
301781098,H2B,H2B.W,9646,False
823419426,H2B,H2B.W,9708,False
586532246,H2B,H2B.W,9402,False
545886012,H2B,H2B.W,9823,False
545886017,H2B,H2B.W,9823,False
744624294,H2B,H2B.W,9838,False
667338427,H2B,H2B.W,482537,False
355765412,H2B,H2B.W,9541,False
558099461,H2B,H2B.W,59463,False
829761802,H2B,H2B.W,30608,False
507957472,H2B,H2B.W,143302,False
594029955,H2B,H2B.W,89462,False
744564847,H2B,canonical_H2B,9838,False
505794943,H2B,H2B.W,42254,False
744612917,H2B,H2B.W,9838,False
669216535,H2B,canonical_H2B,36087,False
444520575,H2B,H2B.W,246437,False
617410362,H2B,canonical_H2B,48698,False
617467109,H2B,canonical_H2B,48698,False
700414420,H2B,canonical_H2B,188344,False
677385626,H2B,canonical_H2B,188344,False
551521638,H2B,canonical_H2B,8083,False
551521640,H2B,canonical_H2B,8083,False
823437919,H2B,H2B.W,9708,False
617467062,H2B,canonical_H2B,48698,False
658901365,H2B,canonical_H2B,8081,False
658901369,H2B,canonical_H2B,8081,False
744624762,H2B,H2B.W,9838,False
658875546,H2B,canonical_H2B,8081,False
658901001,H2B,canonical_H2B,8081,False
556728587,H1,generic_H1,59538,False
548534555,H2B,canonical_H2B,9925,False
410927066,H2B,canonical_H2B,31033,False
297304485,H2B,H2B.W,9544,False
594042334,H2B,canonical_H2B,89462,False
548521972,H2B,canonical_H2B,303518,False
557026138,H2B,canonical_H2B,7897,False
